x,y,bx,by,bxy,a,R^2
demand,trans,-1.9572808900484004,0.679595342606131,-9.34090120801359,0.21096802208517593,0.9464221947100355
demand,storage,-2.182994215138131,-2.2401027384649623,-2.3206736111815824,0.2189999560752269,0.9999318212457496
demand,inertia,-1.552965220220618,-0.04764041209946006,0.48329260054106443,0.20247316760381237,0.7075212588474014
demand,solar,-2.1566593783136523,-2.1470138232682547,-7.854388012564578,0.2185375755206774,0.9994118387866552
trans,storage,0.7022224674831213,-1.938329902590982,-8.048786773000849,0.20945245512290706,0.9708313367743755
trans,inertia,0.824600342877698,-0.04775416828315132,-0.761480582343572,0.1938325458805707,0.9290215615374451
trans,solar,0.6827764874429929,-1.6285050040469717,-7.777048545107453,0.207990313616873,0.9542552012577478
storage,inertia,-1.6151379781565323,-0.05325797350538805,-4.337231774909076,0.2059201111702697,0.7905173638325227
storage,solar,-2.2209280786544294,-2.1573490858858855,-6.286821163601201,0.21854073826397524,0.9995919316864842
inertia,solar,-0.05004674909106768,-1.4531284654831336,-0.4581997374008128,0.20351169285953014,0.7590122033882865
