trans,storage,freq
0.02,0,0.218736812888473
0.02,500,0.216332842308397
0.02,1000,0.213981167097067
0.02,1500,0.211679093662219
0.02,2000,0.209425028650692
0.04,0,0.239369440163713
0.04,500,0.236912045447411
0.04,1000,0.234502085613094
0.04,1500,0.232138789297842
0.04,2000,0.229820182596463
0.06,0,0.261860552254007
0.06,500,0.256671068532235
0.06,1000,0.251627127265159
0.06,1500,0.246991376755766
0.06,2000,0.244598457753121
0.08,0,0.273177151181059
0.08,500,0.267878010053558
0.08,1000,0.262721278843721
0.08,1500,0.257701046737054
0.08,2000,0.252816144566616
0.1,0,0.276288066184421
0.1,500,0.270974673092219
0.1,1000,0.265804751832185
0.1,1500,0.260773978495244
0.1,2000,0.255877985520627
